Optimizador;Error promedio MSE (50000 epochs)
descgradient;1.319586325355925
descgradient;1.3195857691350241
descgradient;1.3195852129149062
descgradient;1.3195846566957106
descgradient;1.3195841004774924
descgradient;1.319583544260196
descgradient;1.3195829880439027
descgradient;1.3195824318284626
descgradient;1.3195818756138957
descgradient;1.319581319400248
descgradient;1.3195807631874956
descgradient;1.3195802069756128
descgradient;1.3195796507646207
descgradient;1.3195790945545793
descgradient;1.3195785383454384
descgradient;1.319577982137116
descgradient;1.3195774259296773
descgradient;1.319576869723051
descgradient;1.3195763135173673
descgradient;1.3195757573125815
descgradient;1.3195752011087072
descgradient;1.3195746449056858
descgradient;1.3195740887036753
descgradient;1.3195735325027946
descgradient;1.3195729763027209
descgradient;1.319572420103508
descgradient;1.3195718639050473
descgradient;1.3195713077073905
descgradient;1.3195707515106163
descgradient;1.3195701953147914
descgradient;1.3195696391199316
descgradient;1.3195690829260225
descgradient;1.31956852673304
descgradient;1.3195679705409968
descgradient;1.3195674143498164
descgradient;1.3195668581593751
descgradient;1.3195663019697523
descgradient;1.319565745780986
descgradient;1.319565189593275
descgradient;1.3195646334065851
descgradient;1.3195640772208903
descgradient;1.319563521036007
descgradient;1.3195629648519898
descgradient;1.3195624086688391
descgradient;1.319561852486597
descgradient;1.3195612963050813
descgradient;1.3195607401245244
descgradient;1.3195601839450322
descgradient;1.3195596277665014
descgradient;1.3195590715886965
descgradient;1.3195585154118183
descgradient;1.3195579592358917
descgradient;1.319557403060631
descgradient;1.3195568468864245
descgradient;1.3195562907133467
descgradient;1.3195557345408933
descgradient;1.3195551783693873
descgradient;1.3195546221986776
descgradient;1.3195540660289669
descgradient;1.3195535098603735
descgradient;1.3195529536924397
descgradient;1.3195523975254075
descgradient;1.319551841359249
descgradient;1.3195512851938338
descgradient;1.3195507290294615
descgradient;1.3195501728660926
descgradient;1.3195496167036325
descgradient;1.3195490605420706
descgradient;1.3195485043814086
descgradient;1.3195479482216113
descgradient;1.319547392062796
descgradient;1.319546835904805
descgradient;1.3195462797476512
descgradient;1.3195457235914685
descgradient;1.31954516743621
descgradient;1.319544611281781
descgradient;1.3195440551282096
descgradient;1.3195434989755837
descgradient;1.3195429428237766
descgradient;1.3195423866728602
descgradient;1.3195418305229503
descgradient;1.3195412743738943
descgradient;1.319540718225648
descgradient;1.3195401620783422
descgradient;1.3195396059318272
descgradient;1.3195390497863297
descgradient;1.3195384936417363
descgradient;1.319537937498051
descgradient;1.3195373813550353
descgradient;1.3195368252130721
descgradient;1.3195362690720298
descgradient;1.3195357129319214
descgradient;1.3195351567926044
descgradient;1.3195346006541513
descgradient;1.3195340445166828
descgradient;1.319533488380211
descgradient;1.3195329322446607
descgradient;1.3195323761100932
descgradient;1.319531819976183
descgradient;1.319531263843118
descgradient;1.3195307077110603
descgradient;1.3195301515799378
descgradient;1.3195295954497182
descgradient;1.3195290393204226
descgradient;1.319528483191978
descgradient;1.3195279270644393
descgradient;1.3195273709378794
descgradient;1.3195268148122261
descgradient;1.3195262586873913
descgradient;1.319525702563451
descgradient;1.3195251464402835
descgradient;1.3195245903178812
descgradient;1.3195240341966474
descgradient;1.3195234780765195
descgradient;1.3195229219571583
descgradient;1.3195223658385882
descgradient;1.3195218097209964
descgradient;1.3195212536042122
descgradient;1.3195206974882834
descgradient;1.3195201413732442
descgradient;1.31951958525925
descgradient;1.3195190291461505
descgradient;1.3195184730338645
descgradient;1.3195179169224647
descgradient;1.3195173608119437
descgradient;1.3195168047022376
descgradient;1.319516248593421
descgradient;1.319515692485469
descgradient;1.3195151363783761
descgradient;1.3195145802723796
descgradient;1.319514024167443
descgradient;1.319513468063077
descgradient;1.3195129119597813
descgradient;1.319512355857414
descgradient;1.3195117997558103
descgradient;1.3195112436551808
descgradient;1.3195106875554508
descgradient;1.3195101314566458
descgradient;1.3195095753588177
descgradient;1.319509019261762
descgradient;1.3195084631655578
descgradient;1.3195079070702884
descgradient;1.3195073509759432
descgradient;1.319506794882574
descgradient;1.3195062387901015
descgradient;1.3195056826983789
descgradient;1.3195051266076647
descgradient;1.3195045705178001
descgradient;1.319504014428829
descgradient;1.3195034583408252
descgradient;1.3195029022536942
descgradient;1.3195023461672712
descgradient;1.3195017900818256
descgradient;1.3195012339972871
descgradient;1.3195006779136085
descgradient;1.3195001218309526
descgradient;1.3194995657491524
descgradient;1.3194990096683032
descgradient;1.319498453588494
descgradient;1.319497897509507
descgradient;1.3194973414313331
descgradient;1.3194967853540998
descgradient;1.3194962292777923
descgradient;1.3194956732023417
descgradient;1.3194951171278464
descgradient;1.3194945610541586
descgradient;1.3194940049811894
descgradient;1.3194934489090753
descgradient;1.319492892837892
descgradient;1.3194923367677076
descgradient;1.3194917806985307
descgradient;1.3194912246301902
descgradient;1.3194906685627719
descgradient;1.3194901124961718
descgradient;1.3194895564305584
descgradient;1.3194890003658934
descgradient;1.3194884443021784
descgradient;1.3194878882394683
descgradient;1.3194873321774783
descgradient;1.3194867761163458
descgradient;1.319486220056206
descgradient;1.319485663996925
descgradient;1.3194851079385512
descgradient;1.319484551881144
descgradient;1.3194839958246896
descgradient;1.319483439769116
descgradient;1.3194828837142727
descgradient;1.3194823276602594
descgradient;1.3194817716072926
descgradient;1.3194812155552937
descgradient;1.319480659503907
descgradient;1.3194801034534525
descgradient;1.3194795474039538
descgradient;1.3194789913554348
descgradient;1.3194784353076434
descgradient;1.3194778792608584
descgradient;1.319477323215026
descgradient;1.319476767170363
descgradient;1.3194762111263876
descgradient;1.319475655083162
descgradient;1.319475099040834
descgradient;1.3194745429993402
descgradient;1.3194739869588665
descgradient;1.3194734309194578
descgradient;1.3194728748809477
descgradient;1.3194723188431339
descgradient;1.3194717628062547
descgradient;1.3194712067702614
descgradient;1.3194706507352008
descgradient;1.3194700947010343
descgradient;1.3194695386676463
descgradient;1.319468982635245
descgradient;1.319468426603763
descgradient;1.3194678705731704
descgradient;1.3194673145434037
descgradient;1.319466758514549
descgradient;1.3194662024866133
descgradient;1.3194656464596117
descgradient;1.319465090433393
descgradient;1.3194645344081515
descgradient;1.3194639783838726
descgradient;1.3194634223604362
descgradient;1.3194628663378658
descgradient;1.3194623103161445
descgradient;1.3194617542954805
descgradient;1.3194611982758806
descgradient;1.319460642257022
descgradient;1.3194600862388683
descgradient;1.3194595302217482
